model_name,horizon_name,filter_name,min_liquidity_proxy,min_cumulative_volume,input_row_count,row_count,brier_score,log_loss,expected_calibration_error,calibration_intercept,calibration_slope,calibration_status,empty_bin_count,sparse_bin_count,analysis_label,non_confirmatory,aggregation_mode,status
beta,14d,all_rows,,,2955672,9830,0.10423716993955591,0.3295403056717208,0.009415622426772935,-0.0029533301943095733,1.0189200095210735,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
beta,15m,all_rows,,,2955672,116397,0.10214187570023293,0.32573216921183457,0.008026099395178805,0.004468010764179936,1.0536551606009252,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
beta,1d,all_rows,,,2955672,71281,0.12133750773415478,0.37792394028683574,0.007392048614669313,-0.06676649129127048,0.9335993233144351,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
beta,1h,all_rows,,,2955672,61338,0.09580945525684662,0.3052018857559412,0.004429379064285853,-0.026876003763853074,0.9894737964386726,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
beta,30d,all_rows,,,2955672,6849,0.11050894935765172,0.351414070461279,0.006349269323474586,0.007759188834212547,0.9927773642532267,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
beta,3d,all_rows,,,2955672,33027,0.10941473326055222,0.3441401922369438,0.00928381741517301,-0.015226475041673779,0.9464628448830427,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
beta,6h,all_rows,,,2955672,112596,0.11040605995762007,0.34206971583445767,0.006058350130171265,-0.013199072483605126,0.9773471173150649,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
beta,7d,all_rows,,,2955672,14899,0.10477878381825295,0.32947654342239824,0.009383154634107464,-0.06349273300738488,1.016516994399485,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
beta,close,all_rows,,,2955672,66395,0.05438539249556292,0.18865856866403707,0.01139258612891913,-0.11241448368365897,1.0847054294890728,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
binned_reliability,14d,all_rows,,,2955672,9830,0.10486130059039299,0.33512233681303677,0.009348853357367586,-0.011911860809351547,0.9962021694952339,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
binned_reliability,15m,all_rows,,,2955672,116397,0.10269329643799346,0.3310342844586721,0.007090609214646912,0.008208008381119947,1.0301592108848017,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
binned_reliability,1d,all_rows,,,2955672,71281,0.12210003874117384,0.3829823247946379,0.009323004135398596,-0.066847267867798,0.9149632019608309,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
binned_reliability,1h,all_rows,,,2955672,61338,0.09641607508991948,0.31265292005129863,0.00356388304730146,-0.010802379712525359,1.0060886477969075,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
binned_reliability,30d,all_rows,,,2955672,6849,0.11069761319256675,0.351937129240279,0.008682916255475431,0.004915076522297852,0.9879754272199719,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
binned_reliability,3d,all_rows,,,2955672,33027,0.11003756036090354,0.3495590412689168,0.009734266869180188,-0.017506384683626388,0.9458716226682932,converged,0,0,robustness_non_confirmatory,True,equal_contract,computed
