model_name,row_count,brier_score,brier_delta_vs_raw,brier_score_ci_lower,brier_score_ci_upper,brier_delta_ci_lower,brier_delta_ci_upper,brier_delta_p_value,brier_delta_q_value,log_loss,log_loss_delta_vs_raw,log_loss_ci_lower,log_loss_ci_upper,log_loss_delta_ci_lower,log_loss_delta_ci_upper,log_loss_delta_p_value,log_loss_delta_q_value,expected_calibration_error,ece_delta_vs_raw,ece_ci_lower,ece_ci_upper,ece_delta_ci_lower,ece_delta_ci_upper,ece_delta_p_value,ece_delta_q_value,effective_cluster_count,cluster_count,calibration_intercept,calibration_slope,calibration_status
raw,409,0.1030022004889975,0.0,0.08414965873217292,0.12496434534045361,,,,,0.32898375835896715,0.0,0.27935514676411616,0.389030688942432,,,,,0.05665036674816625,0.0,0.048855931799847624,0.10184983808856991,,,,,40.75054811205847,52,0.5720261482070627,1.485086899250309,converged
platt,409,0.10231880444372823,-0.0006833960452692633,0.08043290013700942,0.12876789859633495,-0.0019517115191865716,0.0006725580995608066,0.318,1.0,0.3238696486069311,-0.005114109752036022,0.2695566891595476,0.39321804760942153,-0.009788751891484359,0.0002428928663648708,0.06,0.42857142857142855,0.05573020955708798,-0.0009201571910782691,0.043728039620312506,0.10057735863250998,-0.023338489717195255,0.013355427072383647,0.68,1.0,40.75054811205847,52,0.5545336872416906,1.3372651230867811,converged
beta,409,0.10239660965868277,-0.0006055908303147228,0.08262860863599905,0.12777313731386503,-0.0017541968868999302,0.000657985333669191,0.316,1.0,0.3241493498521989,-0.004834408506768251,0.27107384913851496,0.3932023037378293,-0.009310068456871625,0.00017116860921564792,0.056,0.40975609756097564,0.05689616833205901,0.0002458015838927574,0.044422753905645866,0.09962725759864846,-0.0201993000912486,0.02008052194002366,1.0,1.0,40.75054811205847,52,0.5449861485031912,1.3357091722646979,converged
isotonic,409,0.10225148071523543,-0.0007507197737620652,0.08306493661958742,0.12674053641286717,-0.0034050405043759826,0.0019280770039327465,0.534,1.0,0.32341758704350093,-0.005566171315466217,0.2693662758807466,0.3907147041326295,-0.013499704453022102,0.0035877304892623814,0.23,0.9405405405405407,0.04534953173580089,-0.01130083501236536,0.037631248630790946,0.08704881802515108,-0.03435520423468675,0.005779810390299343,0.198,0.8865671641791045,40.75054811205847,52,0.4620458359138939,1.2423800170600814,converged
binned_reliability,409,0.11095989743739838,0.007957696948400886,0.09208573851817314,0.13435064639363645,0.0031683509338065554,0.01349180854274828,0.0,0.0,0.3475665859346903,0.01858282757572316,0.2985017379593033,0.40890576515268146,0.006388307134724195,0.032812011615725736,0.002,0.031578947368421054,0.07093008896659095,0.014279722218424697,0.05193756493889061,0.11707343206470441,-0.016631798006476496,0.025401450634464542,0.594,1.0,40.75054811205847,52,1.0447841041068806,1.6786436275575765,converged
hierarchical_eb,409,0.10960918271405902,0.006606982225061522,0.0858899763129022,0.13709413679522173,0.0026246589316179744,0.011099054433801476,0.002,0.031578947368421054,0.3479460591239999,0.018962300765032747,0.2933496956344713,0.4160153000868555,0.008330360189706454,0.030473173475037297,0.0,0.0,0.04741737531430571,-0.00923299143386054,0.035120652576813224,0.08868308601477873,-0.050286320701378485,0.024947742697502988,0.626,1.0,40.75054811205847,52,-0.118002465803307,1.2353366084307795,converged
