scenario_name,model_name,friction_tier,candidate_row_count,selected_row_count,excluded_row_count,selected_share,mean_entry_price,mean_predicted_probability,mean_fee_cost,mean_spread_cost,mean_slippage_cost,mean_capital_lockup_cost,mean_gross_edge,median_gross_edge,mean_net_edge,median_net_edge,selected_mean_net_edge,selected_mean_simulated_realized_net_per_contract,fee_rate,capital_annual_rate,min_net_edge,scenario_artifact_dir,candidate_row_count_total,analysis_label,non_confirmatory
base,beta,fee_only,3104,0,0,0.0,0.34433634020618553,0.3409366991432357,0.007843418814432991,0.0,0.0,0.00011783740970165969,-0.0033996410629498694,-0.003358982963888646,-0.011360897287084521,-0.011003566741461246,,,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/base,30000,robustness_non_confirmatory,True
base,beta,fee_spread,3104,0,0,0.0,0.34433634020618553,0.3409366991432357,0.007843418814432991,0.004999999999999998,0.0,0.00011940812323564526,-0.0033996410629498694,-0.003358982963888646,-0.01636246800061851,-0.016003994530646715,,,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/base,30000,robustness_non_confirmatory,True
base,beta,fee_spread_slippage,3104,0,0,0.0,0.34433634020618553,0.3409366991432357,0.007843418814432991,0.004999999999999998,0.004999999999999998,0.00012097883676963082,-0.0033996410629498694,-0.003358982963888646,-0.0213640387141525,-0.02100442231983224,,,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/base,30000,robustness_non_confirmatory,True
base,isotonic,fee_only,688,23,0,0.03343023255813953,0.35354651162790696,0.3467955554990275,0.007931183139534885,0.0,0.0,0.00017984868234257025,-0.0067509561288794555,-0.009999000000000001,-0.01486198795075691,-0.013757207650426317,0.03456337374721091,-0.00348032347340022,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/base,30000,robustness_non_confirmatory,True
base,isotonic,fee_spread,688,17,0,0.024709302325581394,0.35354651162790696,0.3467955554990275,0.007931183139534885,0.004999999999999999,0.0,0.00018208828723117267,-0.0067509561288794555,-0.009999000000000001,-0.019864227555645517,-0.018757378766100508,0.03417867373210131,0.021615603205388002,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/base,30000,robustness_non_confirmatory,True
base,isotonic,fee_spread_slippage,688,17,0,0.024709302325581394,0.35354651162790696,0.3467955554990275,0.007931183139534885,0.004999999999999999,0.004999999999999999,0.00018432789211977502,-0.0067509561288794555,-0.009999000000000001,-0.02486646716053412,-0.023757549881774698,0.029177469184003265,0.01661439865728996,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/base,30000,robustness_non_confirmatory,True
base,platt,fee_only,3104,0,0,0.0,0.34433634020618553,0.3408504807232178,0.007843418814432991,0.0,0.0,0.00011783740970165969,-0.0034858594829677786,-0.004622015626396848,-0.011447115707102431,-0.010281911115675793,,,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/base,30000,robustness_non_confirmatory,True
base,platt,fee_spread,3104,0,0,0.0,0.34433634020618553,0.3408504807232178,0.007843418814432991,0.004999999999999998,0.0,0.00011940812323564526,-0.0034858594829677786,-0.004622015626396848,-0.01644868642063642,-0.015283964503766137,,,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/base,30000,robustness_non_confirmatory,True
base,platt,fee_spread_slippage,3104,0,0,0.0,0.34433634020618553,0.3408504807232178,0.007843418814432991,0.004999999999999998,0.004999999999999998,0.00012097883676963082,-0.0034858594829677786,-0.004622015626396848,-0.021450257134170408,-0.020286017891856488,,,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/base,30000,robustness_non_confirmatory,True
base,raw,fee_only,3104,0,0,0.0,0.34433634020618553,0.34433634020618553,0.007843418814432991,0.0,0.0,0.00011783740970165969,0.0,0.0,-0.007961256224134653,-0.0068581155201916655,,,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/base,30000,robustness_non_confirmatory,True
base,raw,fee_spread,3104,0,0,0.0,0.34433634020618553,0.34433634020618553,0.007843418814432991,0.004999999999999998,0.0,0.00011940812323564526,0.0,0.0,-0.01296282693766864,-0.01185814403947072,,,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/base,30000,robustness_non_confirmatory,True
base,raw,fee_spread_slippage,3104,0,0,0.0,0.34433634020618553,0.34433634020618553,0.007843418814432991,0.004999999999999998,0.004999999999999998,0.00012097883676963082,0.0,0.0,-0.01796439765120263,-0.016858172558749773,,,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/base,30000,robustness_non_confirmatory,True
higher_fee,beta,fee_spread_slippage,3104,0,0,0.0,0.34433634020618553,0.3409366991432357,0.011204884020618557,0.004999999999999998,0.004999999999999998,0.00012206686458439913,-0.0033996410629498694,-0.003358982963888646,-0.024726591948152833,-0.02444369494455345,,,0.1,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/higher_fee,10000,robustness_non_confirmatory,True
higher_fee,isotonic,fee_spread_slippage,688,12,0,0.01744186046511628,0.35354651162790696,0.3467955554990275,0.01133026162790698,0.004999999999999999,0.004999999999999999,0.00018584066816442626,-0.0067509561288794555,-0.009999000000000001,-0.028267058424950864,-0.026119199976333253,0.02514266792082635,-0.08730234206498595,0.1,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/higher_fee,10000,robustness_non_confirmatory,True
higher_fee,platt,fee_spread_slippage,3104,0,0,0.0,0.34433634020618553,0.3408504807232178,0.011204884020618557,0.004999999999999998,0.004999999999999998,0.00012206686458439913,-0.0034858594829677786,-0.004622015626396848,-0.02481281036817074,-0.02350473220765595,,,0.1,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/higher_fee,10000,robustness_non_confirmatory,True
higher_fee,raw,fee_spread_slippage,3104,0,0,0.0,0.34433634020618553,0.34433634020618553,0.011204884020618557,0.004999999999999998,0.004999999999999998,0.00012206686458439913,0.0,0.0,-0.02132695088520296,-0.01979444182067079,,,0.1,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/higher_fee,10000,robustness_non_confirmatory,True
wider_spread_slippage,beta,fee_spread_slippage,3104,0,0,0.0,0.34433634020618553,0.3409366991432357,0.007843418814432991,0.009999999999999997,0.009999999999999997,0.00012412026383760196,-0.0033996410629498694,-0.003358982963888646,-0.031367180141220474,-0.031005277898203176,,,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/wider_spread_slippage,10000,robustness_non_confirmatory,True
wider_spread_slippage,isotonic,fee_spread_slippage,688,12,0,0.01744186046511628,0.35354651162790696,0.3467955554990275,0.007931183139534885,0.009999999999999998,0.009999999999999998,0.00018880710189697977,-0.0067509561288794555,-0.009999000000000001,-0.03487094637031133,-0.03375789211312308,0.022274749399931227,-0.09017026058588103,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/wider_spread_slippage,10000,robustness_non_confirmatory,True
wider_spread_slippage,platt,fee_spread_slippage,3104,0,0,0.0,0.34433634020618553,0.3408504807232178,0.007843418814432991,0.009999999999999997,0.009999999999999997,0.00012412026383760196,-0.0034858594829677786,-0.004622015626396848,-0.03145339856123838,-0.03029012466803719,,,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/wider_spread_slippage,10000,robustness_non_confirmatory,True
wider_spread_slippage,raw,fee_spread_slippage,3104,0,0,0.0,0.34433634020618553,0.34433634020618553,0.007843418814432991,0.009999999999999997,0.009999999999999997,0.00012412026383760196,0.0,0.0,-0.027967539078270605,-0.02685822959730777,,,0.07,0.05,0.02,data/artifacts/robustness_smoke/friction_scenarios/wider_spread_slippage,10000,robustness_non_confirmatory,True
