model_name,row_count,raw_brier,reliability,resolution,uncertainty,decomposed_brier,binning_residual,nonempty_bin_count,empty_bin_count,sparse_bin_count,status
raw,492612,0.10047757545467774,0.00019962230500709038,0.1328528151242997,0.233706991710393,0.10105379889110039,-0.0005762234364226487,10,0,0,ok
platt,492612,0.10029490576728443,6.894164268154832e-06,0.13264487789106932,0.233706991710393,0.10106900798359184,-0.0007741022163074013,10,0,0,ok
beta,492612,0.10030874743851778,1.643277219282584e-05,0.13268179432812366,0.233706991710393,0.10104163015446216,-0.0007328827159443774,10,0,0,ok
isotonic,492612,0.10044762731752381,5.4255435670452915e-05,0.13262738328045182,0.233706991710393,0.10113386386561163,-0.000686236548087818,10,0,0,ok
binned_reliability,492612,0.10088864111968329,1.725364029823181e-05,0.1328528151242997,0.233706991710393,0.10087143022639153,1.7210893291763618e-05,10,0,0,ok
hierarchical_eb,492612,0.1041142650599035,0.002783565500710227,0.13168359297696594,0.233706991710393,0.1048069642341373,-0.000692699174233799,10,0,0,ok
