model_name,row_count,brier_score,brier_delta_vs_raw,brier_score_ci_lower,brier_score_ci_upper,brier_delta_ci_lower,brier_delta_ci_upper,brier_delta_p_value,brier_delta_q_value,log_loss,log_loss_delta_vs_raw,log_loss_ci_lower,log_loss_ci_upper,log_loss_delta_ci_lower,log_loss_delta_ci_upper,log_loss_delta_p_value,log_loss_delta_q_value,expected_calibration_error,ece_delta_vs_raw,ece_ci_lower,ece_ci_upper,ece_delta_ci_lower,ece_delta_ci_upper,ece_delta_p_value,ece_delta_q_value,effective_cluster_count,cluster_count,calibration_intercept,calibration_slope,calibration_status
raw,492612,0.10047757545467774,0.0,0.09948697222423725,0.10138765149114319,,,,,0.31875213256618085,0.0,0.31592481591857063,0.32156560301691234,,,,,0.012113712211639188,0.0,0.010791761965432713,0.013537843287379805,,,,,14839.389796578802,70876,-0.06594110160813316,1.0778767130174296,converged
platt,492612,0.10029490576728443,-0.00018266968739330536,0.0991894264188658,0.10130014726431291,-0.00023038301486135913,-0.00013471212532804852,0.0,0.0,0.31775865088359256,-0.000993481682588282,0.31499674754975276,0.3206638772278645,-0.0011589473674159514,-0.0008056443195610892,0.0,0.0,0.0018290024341330886,-0.010284709777506099,0.0012969255297662252,0.0035735146432903193,-0.01070224539188839,-0.008716125112686763,0.0,0.0,14839.389796578802,70876,-0.016409880930334485,1.0045046703072555,converged
beta,492612,0.10030874743851778,-0.00016882801615995813,0.09930419326156313,0.10127644936082715,-0.00021228557544823384,-0.00012652197101433607,0.0,0.0,0.31776771509651086,-0.0009844174696699848,0.3147206267026234,0.3204820508774933,-0.0011536327641916396,-0.0008245402674056001,0.0,0.0,0.0027080002678674243,-0.009405711943771763,0.0018333150316799127,0.00432015694983015,-0.009929435161477224,-0.008326371474594679,0.0,0.0,14839.389796578802,70876,-0.016587915676259637,1.0052503839712377,converged
isotonic,492612,0.10044762731752381,-2.9948137153928966e-05,0.09940800913126804,0.10141794881197967,-8.907901008006454e-05,3.337441890330482e-05,0.346,0.4698315789473684,0.32394228927297203,0.0051901567067911825,0.320745030753929,0.3270415333752817,0.0044425502333299794,0.006004080621339559,0.0,0.0,0.005545890835396726,-0.006567821376242461,0.0048627693545137815,0.006962695402381125,-0.007816142918899194,-0.0046167083114685625,0.0,0.0,14839.389796578802,70876,0.026778529521258216,0.9909738277046198,converged
