model_name,friction_tier,candidate_row_count,selected_row_count,selected_share,mean_net_edge,median_net_edge,selected_mean_net_edge,selected_mean_simulated_realized_net_per_contract
raw,fee_only,492612,0,0.0,-0.007570703896260707,-0.005746105133470222,,
raw,fee_spread,492612,0,0.0,-0.01257160663739004,-0.010746789596167011,,
raw,fee_spread_slippage,492612,0,0.0,-0.017572509378519372,-0.0157474740588638,,
platt,fee_only,492612,0,0.0,-0.015474513492691237,-0.012783037189326558,,
platt,fee_spread,492612,0,0.0,-0.020475416233820577,-0.01778304431914631,,
platt,fee_spread_slippage,492612,0,0.0,-0.025476318974949907,-0.022783051448966064,,
beta,fee_only,492612,0,0.0,-0.015438006229575692,-0.012906477894249146,,
beta,fee_spread,492612,0,0.0,-0.02043890897070503,-0.01791292713879075,,
beta,fee_spread_slippage,492612,0,0.0,-0.025439811711834365,-0.022916565981494386,,
isotonic,fee_only,492612,3283,0.006664474271840718,-0.020304396457977134,-0.01604866181311182,0.029557860862137474,-0.009479865106786204
isotonic,fee_spread,492612,2115,0.004293439867481913,-0.025305299199106467,-0.02104866894293156,0.02871999914275682,-0.025801988930255575
isotonic,fee_spread_slippage,492612,1137,0.002308104552873255,-0.0303062019402358,-0.02604867607275141,0.029127640393708402,-0.026044751655994573
binned_reliability,fee_only,492612,34605,0.07024798421475725,-0.01623851579121936,-0.014551100157387031,0.036809119732368605,-0.005229285545212945
binned_reliability,fee_spread,492612,27355,0.05553051894797528,-0.021239418532348696,-0.019551128676666085,0.03556237688939407,-0.008905479706559177
binned_reliability,fee_spread_slippage,492612,20876,0.042378179987495226,-0.02624032127347803,-0.02455115719594514,0.034685523618740007,-0.01060985749456161
hierarchical_eb,fee_only,492612,178035,0.3614101970719349,0.02293555998244849,0.00721411748804977,0.06318028355549457,-0.02536770195063809
hierarchical_eb,fee_spread,492612,159848,0.3244906742020089,0.017934657241319152,0.0022139463723755727,0.0628043469725293,-0.031434685870477125
hierarchical_eb,fee_spread_slippage,492612,142160,0.2885841189414793,0.012933754500189819,-0.0027862247432986244,0.06281195979883644,-0.03780363655667943
