model_name,friction_tier,trade_side,selected_trade_count,final_cumulative_simulated_pnl,pnl_label
isotonic,fee_only,YES,3283,-31.122397145579445,simulated_assumption_dependent
isotonic,fee_spread,YES,2115,-54.57120658749012,simulated_assumption_dependent
isotonic,fee_spread_slippage,YES,1137,-29.6128826328659,simulated_assumption_dependent
binned_reliability,fee_only,YES,34605,-180.95942629209748,simulated_assumption_dependent
binned_reliability,fee_spread,YES,27355,-243.60939737291187,simulated_assumption_dependent
binned_reliability,fee_spread_slippage,YES,20876,-221.49138505648298,simulated_assumption_dependent
hierarchical_eb,fee_only,YES,178035,-4516.3388167826415,simulated_assumption_dependent
hierarchical_eb,fee_spread,YES,159848,-5024.771667023207,simulated_assumption_dependent
hierarchical_eb,fee_spread_slippage,YES,142160,-5374.164972897216,simulated_assumption_dependent
